community,property_category,type,bedrooms,bathrooms,bua_reference_sqft,plot_reference_sqft,area_reference_sqft,bayut_community_url,bayut_floorplan_url,source,source_note,,pf_plot,pf_bua,pf_plot_a,pf_bua_upgraded
Reem,townhouse,Type 2M,3,4,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/reem/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,,,,
Reem,townhouse,Type 1E,4,4,,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/reem/,,Bayut floorplans,Type/bed/bath from Bayut community floorplan page,,,,,
Rosa,villa,Type 1,4,5,4309,6544,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/rosa/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA/plot retained from local reference,,,,,
Rosa,villa,Type 2,4,5,4354,6888,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/rosa/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA/plot retained from local reference,,,,,
Rosa,villa,Type 3,4,6,4814,7776,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/rosa/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA/plot retained from local reference,,,,,
Rosa,villa,Type 4,5,7,5468,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/rosa/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA retained from local reference,,,,,
Rosa,villa,Type 5,6,8,6006,8190,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/rosa/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA/plot retained from local reference,,,,,
Samara,villa,Type 1,3,4,3868,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/samara/,,Local reference,Could not fetch Bayut Samara page in this session; retained local reference,,,,,
Samara,villa,Type 2,4,4,4038,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/samara/,,Local reference,Could not fetch Bayut Samara page in this session; retained local reference,,,,,
Samara,villa,Type 3,5,6,4777,4777,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/samara/,,Local reference,Could not fetch Bayut Samara page in this session; retained local reference,,,,,
Samara,villa,Type 4,5,5,4806,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/samara/,,Local reference,Could not fetch Bayut Samara page in this session; retained local reference,,,,,
Yasmin,villa,Type 1,4,5,4309,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/yasmin/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA retained from local reference,,,,,
Yasmin,villa,Type 2,4,5,4354,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/yasmin/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA retained from local reference,,,,,
Yasmin,villa,Type 3,4,6,4857,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/yasmin/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA retained from local reference,,,,,
Yasmin,villa,Type 4,5,7,5457,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/yasmin/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA retained from local reference,,,,,
Yasmin,villa,Type 5,6,8,6006,,,https://www.bayut.com/floorplans/dubai/arabian-ranches-2/yasmin/,,Bayut floorplans + local reference,Type/bed/bath from Bayut; BUA retained from local reference,,,,,
