Location,Community,Area,Property Type,Bedrooms,Size sqft,Rental AED,Rental Yield %,Price per sqft,Status,Start Date,End Date,Duration Months,Purchase Price AED,predicted_type,prediction_confidence,prediction_reason
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,4628,360000,5.76,,New,"25 Apr, 2026","24 Apr,",202712,6300000.0,Likely Type 3,50,bedrooms match; BUA 4628 within standard range 3799–5159
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5644,310000,7.67,,Renewed,"24 Apr, 2026","23 Apr,",202712,4000000.0,Possible Type 4,34,bedrooms match; BUA 5644 above range — likely extended (max 4708)
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,710,70205098,,9 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,,Unknown,0,BUA 710 well below reference range 3559–4177
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,1038,1416976136,,5 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,,Unknown,0,BUA 1038 well below reference range 3559–4177
Samara,Arabian Ranches 2,Wadi Al Safa 7,Commercial,,278,24213887,,1 /sqft,Renewed,"23 Apr, 2026","22 Apr,",202936,,Unknown,0,BUA 278 well below reference range 3559–4177
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,5574,273000,7.51,,New,"20 Apr, 2026","19 Apr,",202712,3600000.0,Possible Type 1,26,bedrooms match; BUA 5574 well above range — heavily extended or wrong type (max 4177)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1957,163721,7.15,,Renewed,"20 Apr, 2026","19 Apr,",202712,2300000.0,Likely Type 1M,50,bedrooms match; BUA 1957 within standard range 1849–2043
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,5165,314580,6.8,,Renewed,"18 Apr, 2026","17 Apr,",202712,4600000.0,Likely Type 4,50,bedrooms match; BUA 5165 within standard range 3912–5190
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1959,195000,12.94,,Renewed,"17 Apr, 2026","16 Apr,",202712,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1959 within standard range 1386–2122
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,6889,370000,7.86,,New,"15 Apr, 2026","14 Apr,",202712,4700000.0,Possible Type 1,26,bedrooms match; BUA 6889 well above range — heavily extended or wrong type (max 4654)
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4284,212295,5.61,,Renewed,"15 Apr, 2026","14 Apr,",202712,3800000.0,Possible Type 1,34,bedrooms match; BUA 4284 above range — likely extended (max 3394)
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4333,300000,8.22,,Renewed,"15 Apr, 2026","14 Apr,",202712,3600000.0,Possible Type 2,34,bedrooms match; BUA 4333 above range — likely extended (max 3483)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1942,220000,10.39,,New,"15 Apr, 2026","14 May,",202713,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1942 within standard range 1849–2043
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,6.0,8129,550000,8.08,,New,"15 Apr, 2026","14 Apr,",202712,6800000.0,Possible Type 5,34,bedrooms match; BUA 8129 above range — likely extended (max 6486)
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,4624,390000,12.19,,New,"14 Apr, 2026","13 Apr,",202712,3200000.0,Likely Type 3,50,bedrooms match; BUA 4624 within standard range 3799–5159
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4650,350000,9.72,,New,"11 Apr, 2026","10 Apr,",202712,3600000.0,Possible Type 4,34,bedrooms match; BUA 4650 above range — likely extended (max 3767)
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,7831,400000,6.11,,Renewed,"10 Apr, 2026","9 Apr,",202712,6500000.0,Possible Type 4,26,bedrooms match; BUA 7831 well above range — heavily extended or wrong type (max 5905)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1951,225000,9.68,,Renewed,"10 Apr, 2026","9 Apr,",202712,2300000.0,Likely Type 1M,50,bedrooms match; BUA 1951 within standard range 1849–2043
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,7564,420000,9.88,,New,"9 Apr, 2026","8 Apr,",202712,4300000.0,Possible Type 1,26,bedrooms match; BUA 7564 well above range — heavily extended or wrong type (max 4654)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4650,335000,8.26,,New,"6 Apr, 2026","5 Apr,",202712,4099999.0,Possible Type 2,26,bedrooms match; BUA 4650 well above range — heavily extended or wrong type (max 3493)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4359,250000,7.16,,Renewed,"5 Apr, 2026","4 Apr,",202712,3500000.0,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3416)
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,147000,10.08,,Renewed,"4 Apr, 2026","3 Apr,",202712,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,6.0,7922,530000,7.8,,Renewed,"3 Apr, 2026","2 Apr,",202712,6800000.0,Possible Type 5,34,bedrooms match; BUA 7922 above range — likely extended (max 6486)
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4359,270000,7.34,,Renewed,"2 Apr, 2026","1 Apr,",202712,3700000.0,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3424)
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,4624,390000,12.19,,New,"1 Apr, 2026","31 Mar,",202712,3200000.0,Likely Type 3,50,bedrooms match; BUA 4624 within standard range 3799–5159
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1959,185000,12.28,,Renewed,"1 Apr, 2026","31 Mar,",202712,1500000.0,Likely Type 1M,50,bedrooms match; BUA 1959 within standard range 1386–2122
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,3282,230000,12.71,,New,"1 Apr, 2026","31 Mar,",202712,1800000.0,Likely Type 1E,50,bedrooms match; BUA 3282 within standard range 1995–3460
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,6889,420000,8.5,,Renewed,"1 Apr, 2026","31 Mar,",202712,4900000.0,Likely Type 2,50,bedrooms match; BUA 6889 within standard range 4006–8612
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1942,200000,9.74,,Renewed,"29 Mar, 2026","28 Mar,",202712,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1942 within standard range 1849–2043
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,77175,3.76,,Renewed,"27 Mar, 2026","26 Sep,",20266,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,6.0,8863,900000,11.76,,New,"25 Mar, 2026","24 Mar,",202712,7700000.0,Possible Type 5,26,bedrooms match; BUA 8863 well above range — heavily extended or wrong type (max 6486)
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4197,260000,7.0,,Renewed,"25 Mar, 2026","24 Mar,",202712,3700000.0,Possible Type 1,34,bedrooms match; BUA 4197 above range — likely extended (max 3296)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4650,310000,9.25,,Renewed,"23 Mar, 2026","22 Mar,",202712,3400000.0,Possible Type 2,26,bedrooms match; BUA 4650 well above range — heavily extended or wrong type (max 3493)
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,6536,252000,5.31,,Renewed,"22 Mar, 2026","21 Mar,",202712,4700000.0,Likely Type 2,50,bedrooms match; BUA 6536 within standard range 4006–8612
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4657,62022,1.71,,Renewed,"21 Mar, 2026","26 Jun,",20264,3600000.0,Possible Type 1,26,bedrooms match; BUA 4657 well above range — heavily extended or wrong type (max 3416)
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,6889,400000,8.5,,Renewed,"21 Mar, 2026","20 Mar,",202712,4700000.0,Possible Type 1,26,bedrooms match; BUA 6889 well above range — heavily extended or wrong type (max 4654)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1948,200000,9.74,,New,"20 Mar, 2026","19 Mar,",202712,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1948 within standard range 1849–2043
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,168000,8.84,,Renewed,"20 Mar, 2026","19 Mar,",202712,1900000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
