Location,Community,Area,Property Type,Bedrooms,Size sqft,Rental AED,Rental Yield %,Price per sqft,Status,Start Date,End Date,Duration Months,Purchase Price AED,predicted_type,prediction_confidence,prediction_reason
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4494,305000,7.49,,Renewed,"19 Feb, 2026","18 Feb,",202712,4099999.0,Possible Type 2,34,bedrooms match; BUA 4494 above range — likely extended (max 3483)
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1516,270000,15.0,,Renewed,"17 Feb, 2026","16 Aug,",202718,1800000.0,Likely Type 1M,50,bedrooms match; BUA 1516 within standard range 1386–2122
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4650,240000,6.93,,Renewed,"16 Feb, 2026","15 Feb,",202712,3500000.0,Possible Type 1,26,bedrooms match; BUA 4650 well above range — heavily extended or wrong type (max 3416)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,3520,64616,3.54,,Renewed,"16 Feb, 2026","15 May,",20263,1800000.0,Possible Type 1E,42,bedrooms match; BUA 3520 slightly above range — possible extension (max 3460)
Samara,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4178,280000,10.81,,New,"16 Feb, 2026","15 Feb,",202712,2600000.0,Possible Type 1,42,bedrooms match; BUA 4178 slightly above range — possible extension (max 4177)
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,195000,9.29,,Renewed,"15 Feb, 2026","14 Feb,",202712,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4604,300000,7.26,,Renewed,"15 Feb, 2026","14 Feb,",202712,4099999.0,Possible Type 2,26,bedrooms match; BUA 4604 well above range — heavily extended or wrong type (max 3483)
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5708,345000,8.73,,New,"13 Feb, 2026","12 Feb,",202712,4000000.0,Possible Type 4,34,bedrooms match; BUA 5708 above range — likely extended (max 4708)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,2950,260000,9.23,,New,"12 Feb, 2026","11 Feb,",202712,2800000.0,Possible Type 1E,42,bedrooms match; BUA 2950 slightly above range — possible extension (max 2782)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,3207,230000,13.08,,New,"12 Feb, 2026","11 Feb,",202712,1800000.0,Likely Type 1E,50,bedrooms match; BUA 3207 within standard range 1995–3460
Camelia 2,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,170000,8.29,,New,"12 Feb, 2026","11 Feb,",202712,2100000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Rosa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,7776,420000,7.83,,New,"10 Feb, 2026","9 Feb,",202712,5400000.0,Possible Type 1,26,bedrooms match; BUA 7776 well above range — heavily extended or wrong type (max 4654)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4359,355000,9.41,,New,"9 Feb, 2026","8 Feb,",202712,3800000.0,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3493)
Azalea,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,3855,226985,5.97,,Renewed,"9 Feb, 2026","8 Feb,",202712,3800000.0,Possible Type 2,42,bedrooms match; BUA 3855 slightly above range — possible extension (max 3483)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,2954,260000,9.29,,New,"9 Feb, 2026","8 Feb,",202712,2800000.0,Possible Type 1E,42,bedrooms match; BUA 2954 slightly above range — possible extension (max 2782)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,4644,390000,8.79,,Renewed,"8 Feb, 2026","7 Feb,",202712,4400000.0,Possible Type 5,34,bedrooms match; BUA 4644 above range — likely extended (max 4069)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,5368,340000,7.22,,Renewed,"8 Feb, 2026","7 Feb,",202712,4700000.0,Possible Type 5,26,bedrooms match; BUA 5368 well above range — heavily extended or wrong type (max 4069)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,5148,375000,8.29,,New,"7 Feb, 2026","6 Feb,",202712,4500000.0,Possible Type 5,34,bedrooms match; BUA 5148 above range — likely extended (max 4069)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4359,330000,8.61,,New,"5 Feb, 2026","4 Feb,",202712,3800000.0,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3493)
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,8872,1400000,15.73,,New,"5 Feb, 2026","4 Feb,",202824,8900000.0,Possible Type 4,26,bedrooms match; BUA 8872 well above range — heavily extended or wrong type (max 5797)
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,8447,500000,9.01,,New,"4 Feb, 2026","3 Feb,",202712,5600000.0,Likely Type 2,50,bedrooms match; BUA 8447 within standard range 4006–8612
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,5900,175000,3.89,,Renewed,"4 Feb, 2026","5 Aug,",20267,4500000.0,Possible Type 4,34,bedrooms match; BUA 5900 above range — likely extended (max 4708)
Casa,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4360,250000,6.6,,Renewed,"4 Feb, 2026","3 Feb,",202712,3800000.0,Likely Type 4,50,bedrooms match; BUA 4360 within standard range 4010–4708
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,4.0,4359,310000,8.52,,New,"2 Feb, 2026","1 Feb,",202712,3600000.0,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3493)
Lila,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,5328,305000,9.53,,Renewed,"1 Feb, 2026","31 Jan,",202712,3200000.0,Possible Type 5,26,bedrooms match; BUA 5328 well above range — heavily extended or wrong type (max 4069)
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1507,190000,14.07,,New,"1 Feb, 2026","31 Jan,",202712,1400000.0,Likely Type 1M,50,bedrooms match; BUA 1507 within standard range 1386–2122
Camelia,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1798,380000,11.41,,New,"1 Feb, 2026","31 Jan,",202824,3300000.0,Likely Type 1M,50,bedrooms match; BUA 1798 within standard range 1386–2122
Rasha,Arabian Ranches 2,Wadi Al Safa 7,Villa,5.0,13700,900000,14.46,,New,"1 Feb, 2026","31 Jan,",202824,6200000.0,Possible Type 4,26,bedrooms match; BUA 13700 well above range — heavily extended or wrong type (max 5797)
Yasmin,Arabian Ranches 2,Wadi Al Safa 7,Villa,6.0,8058,1280000,11.13,,New,"1 Feb, 2026","31 Jan,",202824,11500000.0,Possible Type 5,34,bedrooms match; BUA 8058 above range — likely extended (max 6486)
Palma,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,4359,300000,7.84,,New,"1 Feb, 2026","31 Jan,",202712,3800000.0,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3424)
Reem,Arabian Ranches 2,Wadi Al Safa 7,Villa,3.0,1953,195000,8.78,,Renewed,"1 Feb, 2026","31 Jan,",202712,2200000.0,Likely Type 1M,50,bedrooms match; BUA 1953 within standard range 1849–2043
