community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent
Lila,Arabian Ranches 2,Ready,Villa,5830000,67,1337,4359,3,23 Oct 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,5500000,70,1262,4359,3,20 Oct 2025,Individual (2 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,4300000,79,1264,3401,4,13 Oct 2025,Individual (3 Times),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,7950000,127,1594,4989,4,10 Oct 2025,Individual (2 Times),1400,5915000,124,6
Palma,Arabian Ranches 2,Ready,Villa,5600000,51,1285,4359,3,06 Oct 2025,Individual (1 Time),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,4999999,53,1292,3869,3,03 Oct 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,5000000,51,1147,4361,3,03 Oct 2025,Individual (1 Time),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,3650000,68,1872,1950,3,02 Oct 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,7000000,77,1222,5729,4,30 Sep 2025,Individual (1 Time),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,4999999,0,1290,3875,3,29 Sep 2025,Individual (2 Times),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,3675000,19,1884,1951,3,24 Sep 2025,Individual (3 Times),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,9655000,105,1402,6889,4,18 Sep 2025,Individual (1 Time),1400,5915000,124,6
Yasmin,Arabian Ranches 2,Ready,Villa,9825000,102,1501,6544,4,15 Sep 2025,Individual (1 Time),1400,5915000,124,6
Yasmin,Arabian Ranches 2,Ready,Villa,9850000,101,1430,6889,4,04 Sep 2025,Individual (2 Times),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,4870000,40,1274,3824,3,04 Sep 2025,Individual (1 Time),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,5400000,42,1395,3871,4,01 Sep 2025,Individual (1 Time),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,5550000,76,1354,4099,3,01 Sep 2025,Individual (2 Times),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,8825000,84,1195,7387,4,01 Sep 2025,Individual (1 Time),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,7450000,77,1560,4777,5,29 Aug 2025,Individual (2 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,4600000,158,1287,3574,4,25 Aug 2025,Individual (1 Time),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,3200000,108,1979,1617,3,25 Aug 2025,Individual (1 Time),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,4000000,52,1351,2961,4,21 Aug 2025,Individual (1 Time),1400,5915000,124,6
