community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent,predicted_type,prediction_confidence,prediction_reason
Azalea,Arabian Ranches 2,Ready,Villa,6450000,63.0,1202,5368,4.0,16 Jan 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 2,26,bedrooms match; BUA 5368 well above range — heavily extended or wrong type (max 3483)
Lila,Arabian Ranches 2,Ready,Villa,6650000,72.0,1476,4505,4.0,15 Jan 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 2,34,bedrooms match; BUA 4505 above range — likely extended (max 3493)
Lila,Arabian Ranches 2,Ready,Villa,7166898,58.0,1541,4650,5.0,07 Jan 2026,Individual (1 Time),1400,5915000,124,6,Possible Type 5,34,bedrooms match; BUA 4650 above range — likely extended (max 4069)
Casa,Arabian Ranches 2,Ready,Villa,5500000,40.0,1262,4359,3.0,29 Dec 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3394)
Casa,Arabian Ranches 2,Ready,Villa,6925000,54.0,1379,5020,4.0,27 Dec 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 4,42,bedrooms match; BUA 5020 slightly above range — possible extension (max 4708)
Rasha,Arabian Ranches 2,Ready,Villa,9600000,48.0,1467,6544,4.0,22 Dec 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 3,34,bedrooms match; BUA 6544 above range — likely extended (max 5199)
Casa,Arabian Ranches 2,Ready,Villa,5300000,83.0,1216,4359,3.0,15 Dec 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3394)
Lila,Arabian Ranches 2,Ready,Villa,5800000,59.0,1331,4359,3.0,12 Dec 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3416)
Rosa,Arabian Ranches 2,Ready,Villa,9050000,266.0,1383,6544,4.0,11 Dec 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 3,34,bedrooms match; BUA 6544 above range — likely extended (max 5199)
Reem,Arabian Ranches 2,Ready,Villa,3700000,80.0,1894,1954,3.0,10 Dec 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1954 within standard range 1849–2043
Palma,Arabian Ranches 2,Ready,Villa,7000000,56.0,1505,4650,4.0,09 Dec 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 4,34,bedrooms match; BUA 4650 above range — likely extended (max 3767)
Casa,Arabian Ranches 2,Ready,Villa,5400000,65.0,1239,4359,3.0,05 Dec 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3394)
Palma,Arabian Ranches 2,Ready,Villa,6700000,62.0,1424,4706,4.0,28 Nov 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 4,34,bedrooms match; BUA 4706 above range — likely extended (max 3767)
Casa,Arabian Ranches 2,Ready,Villa,7400000,83.0,1110,6669,4.0,27 Nov 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 3,26,bedrooms match; BUA 6669 well above range — heavily extended or wrong type (max 3821)
Lila,Arabian Ranches 2,Ready,Villa,5670000,15.0,1301,4359,3.0,24 Nov 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3416)
Lila,Arabian Ranches 2,Ready,Villa,6600000,72.0,1514,4359,4.0,21 Nov 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3493)
Casa,Arabian Ranches 2,Ready,Villa,5450000,24.0,1250,4359,3.0,18 Nov 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3394)
Casa,Arabian Ranches 2,Ready,Villa,6350000,68.0,1457,4359,4.0,13 Nov 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 4,50,bedrooms match; BUA 4359 within standard range 4010–4708
Camelia,Arabian Ranches 2,Ready,Villa,3330000,61.0,1852,1798,3.0,07 Nov 2025,Individual (4 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1798 within standard range 1386–2122
Samara,Arabian Ranches 2,Ready,Villa,5800000,67.0,1442,4022,3.0,06 Nov 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1,50,bedrooms match; BUA 4022 within standard range 3559–4177
Palma,Arabian Ranches 2,Ready,Villa,5500000,50.0,1262,4359,3.0,04 Nov 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3424)
Reem,Arabian Ranches 2,Ready,Villa,3750000,62.0,1922,1951,3.0,31 Oct 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1951 within standard range 1849–2043
Lila,Arabian Ranches 2,Ready,Villa,6682500,18.0,1437,4650,4.0,28 Oct 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 2,26,bedrooms match; BUA 4650 well above range — heavily extended or wrong type (max 3493)
